Date,Month,Forecast_USD,Lower_95_USD,Upper_95_USD,CI_Width_USD,Forecast_Log,Lower_95_Log,Upper_95_Log,Growth_1M_Pct
2025-02,1,130637646.19,78127283.45,218440906.31,140313622.86,18.687938,18.17385,19.202026,141511388517.73
2025-03,2,131220949.57,58326297.76,295217393.63,236891095.87,18.692393,17.881564,19.503223,142143243681.21
2025-04,3,131349438.22,46409782.78,371746513.06,325336730.28,18.693372,17.653021,19.733723,142282427200.0
2025-05,4,131377681.47,38378087.33,449738285.3,411360197.97,18.693587,17.462997,19.924176,142313021302.41
2025-06,5,131383886.77,32538853.52,530495817.55,497956964.03,18.693634,17.297945,20.089323,142319743106.16
2025-07,6,131385249.99,28072679.72,614906880.57,586834200.85,18.693644,17.150307,20.236981,142321219795.0
2025-08,7,131385549.46,24534235.16,703594894.72,679060659.55,18.693647,17.01558,20.371713,142321544191.66
2025-09,8,131385615.25,21658041.83,797033269.5,775375227.66,18.693647,16.890887,20.496407,142321615457.75
2025-10,9,131385629.7,19274183.88,895611653.48,876337469.61,18.693647,16.774277,20.613017,142321631110.51
2025-11,10,131385632.88,17267840.88,999672434.16,982404593.28,18.693647,16.664356,20.722938,142321634555.2
2025-12,11,131385633.57,15558089.14,1109531161.48,1093973072.34,18.693647,16.560091,20.827203,142321635302.63
2026-01,12,131385633.73,14085962.99,1225488435.65,1211402472.66,18.693647,16.460689,20.926605,142321635475.95
