Date,Forecast_Log,Log_CI_Lower,Log_CI_Upper,Forecast_Original,Original_CI_Lower,Original_CI_Upper
2025-02-28,18.687937988965892,18.173849893696016,19.20202608423577,130637646.1940254,78127283.44549285,218440906.3067187
2025-03-31,18.692393098301142,17.881563626130145,19.50322257047214,131220949.56648608,58326297.76075755,295217393.63192254
2025-04-30,18.69337179714002,17.653020830819663,19.733722763460378,131349438.2230567,46409782.7832513,371746513.0592867
2025-05-31,18.693586797793234,17.462997212274853,19.924176383311615,131377681.47412379,38378087.331657276,449738285.2969548
2025-06-30,18.693634029157007,17.297945426302256,20.089322632011758,131383886.76773022,32538853.523639593,530495817.55101025
2025-07-31,18.693644404947456,17.150307409296765,20.236981400598147,131385249.98647994,28072679.71701285,614906880.569314
2025-08-31,18.69364668430208,17.01558005374788,20.371713314856283,131385549.46039845,24534235.163762517,703594894.717049
2025-09-30,18.69364718503092,16.890887390768196,20.496406979293642,131385615.24894843,21658041.834584128,797033269.4980767
2025-10-31,18.693647295031077,16.7742771355286,20.613017454533555,131385629.7013877,19274183.877443526,895611653.4839128
2025-11-30,18.69364731919592,16.6643564209494,20.722938217442444,131385632.87630104,17267840.88115355,999672434.1574419
2025-12-31,18.693647324504457,16.560091263010804,20.82720338599811,131385633.57376638,15558089.136112723,1109531161.4786813
2026-01-31,18.693647325670636,16.46068932688999,20.92660532445128,131385633.72698544,14085962.99052741,1225488435.6469007
